Instance,Config,Decoder,Seed,Cost,Feasible,NumNodes,NumEdges,WarmStart,InitialCost,TotalIterations,LastUpdateIteration,TotalTime,LastUpdateTime,LargestIterationOffset,StalledIterations,PRTime,PRCalls,PRNumHomogenities,PRNumImprovBest,PRNumImprovElite,NumExchanges,NumShakes,NumResets
add20,config_full.conf,threshold,4,1688,yes,2395,7462,0,0,300,297,14.76,14.63,4,3,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,5,1671,yes,2395,7462,0,0,300,300,15.05,15.05,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,6,1702,yes,2395,7462,0,0,300,300,15.00,15.00,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,7,1720,yes,2395,7462,0,0,300,299,15.22,15.17,3,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,8,1686,yes,2395,7462,0,0,300,299,14.87,14.83,4,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,9,1660,yes,2395,7462,0,0,300,299,14.94,14.89,4,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,10,1687,yes,2395,7462,0,0,300,300,14.94,14.94,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,11,1681,yes,2395,7462,0,0,300,299,14.86,14.82,5,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,12,1668,yes,2395,7462,0,0,300,299,14.78,14.74,4,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,13,1747,yes,2395,7462,0,0,300,300,15.01,15.01,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,14,1649,yes,2395,7462,0,0,300,299,14.97,14.93,3,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,15,1655,yes,2395,7462,0,0,300,300,14.65,14.65,4,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,16,1680,yes,2395,7462,0,0,300,299,14.83,14.79,4,1,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,17,1696,yes,2395,7462,0,0,300,300,14.90,14.90,9,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,18,1706,yes,2395,7462,0,0,300,300,14.71,14.71,3,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,threshold,19,1701,yes,2395,7462,0,0,300,300,14.76,14.76,4,0,0.00,0,0,0,0,0,0,0
add20,config_full.conf,permutation,0,1611,yes,2395,7462,0,0,300,279,32.73,30.45,64,21,0.00,0,0,0,0,2,0,0
add20,config_full.conf,permutation,1,1602,yes,2395,7462,0,0,300,290,32.38,31.29,47,10,0.00,0,0,0,0,0,0,0
add20,config_full.conf,permutation,2,1604,yes,2395,7462,0,0,300,299,33.16,33.05,112,1,0.08,1,0,0,0,2,0,0
add20,config_full.conf,permutation,3,1595,yes,2395,7462,0,0,300,289,32.75,31.55,62,11,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,4,1604,yes,2395,7462,0,0,300,240,32.70,26.27,37,60,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,5,1573,yes,2395,7462,0,0,300,265,32.74,28.90,67,35,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,6,1607,yes,2395,7462,0,0,300,251,34.41,29.01,73,49,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,7,1607,yes,2395,7462,0,0,300,221,33.08,24.53,40,79,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,8,1604,yes,2395,7462,0,0,300,284,32.84,31.13,35,16,0.00,0,0,0,0,0,0,0
add20,config_full.conf,permutation,9,1600,yes,2395,7462,0,0,300,293,32.78,32.02,79,7,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,10,1599,yes,2395,7462,0,0,300,256,32.69,27.89,65,44,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,11,1604,yes,2395,7462,0,0,300,293,32.68,31.92,55,7,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,12,1599,yes,2395,7462,0,0,300,196,33.57,21.99,26,104,0.17,1,0,0,0,2,0,0
add20,config_full.conf,permutation,13,1597,yes,2395,7462,0,0,300,300,32.56,32.56,89,0,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,14,1601,yes,2395,7462,0,0,300,289,32.45,31.26,55,11,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,15,1591,yes,2395,7462,0,0,300,251,32.57,27.21,69,49,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,16,1593,yes,2395,7462,0,0,300,281,33.33,31.25,66,19,0.00,0,0,0,0,2,0,0
add20,config_full.conf,permutation,17,1597,yes,2395,7462,0,0,300,298,32.86,32.65,53,2,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,18,1606,yes,2395,7462,0,0,300,279,32.60,30.34,77,21,0.00,0,0,0,0,1,0,0
add20,config_full.conf,permutation,19,1589,yes,2395,7462,0,0,300,250,32.71,27.31,43,50,0.00,0,0,0,0,0,0,0
